key,fork_name,fork_idx,jagt_idx,cp_best_idx,cp_orig_idx,kb_idx,cp_best_steady,cp_best_false_unsteady,cp_best_abs_err,cp_best_signed_err,cp_orig_steady,cp_orig_false_unsteady,cp_orig_abs_err,cp_orig_signed_err,kb_steady,kb_false_unsteady,kb_abs_err,kb_signed_err
apache__hive#org.apache.hive.benchmark.vectorization.operators.VectorGroupByOperatorBench.testAggCount#aggregation=stddev_pop&dataType=bigint&evalMode=PARTIAL1&hasNulls=true&isRepeating=true&processMode=GLOBAL.json_0,apache__hive#org.apache.hive.benchmark.vectorization.operators.VectorGroupByOperatorBench.testAggCount#aggregation=stddev_pop&dataType=bigint&evalMode=PARTIAL1&hasNulls=true&isRepeating=true&processMode=GLOBAL.json,0,281,0,0,15,True,False,281.0,-281.0,True,False,281.0,-281.0,True,False,266.0,-266.0
prestodb__presto#com.facebook.presto.operator.BenchmarkBlockFlattener.benchmarkWithoutFlatten#blockSize=1000000&nestedLevel=5&numberOfIterations=1000.json_0,prestodb__presto#com.facebook.presto.operator.BenchmarkBlockFlattener.benchmarkWithoutFlatten#blockSize=1000000&nestedLevel=5&numberOfIterations=1000.json,0,2698,0,0,0,True,False,2698.0,-2698.0,True,False,2698.0,-2698.0,True,False,2698.0,-2698.0
jdbi__jdbi#org.jdbi.v3.benchmark.QualifiersBenchmark.neq4To4#.json_0,jdbi__jdbi#org.jdbi.v3.benchmark.QualifiersBenchmark.neq4To4#.json,0,287,137,214,365,True,False,150.0,-150.0,True,False,73.0,-73.0,True,False,78.0,78.0
RoaringBitmap__RoaringBitmap#org.roaringbitmap.writer.WriteSequential.incrementalUseOrderedWriter#randomness=0.5&scenario=SPARSE&size=100000.json_0,RoaringBitmap__RoaringBitmap#org.roaringbitmap.writer.WriteSequential.incrementalUseOrderedWriter#randomness=0.5&scenario=SPARSE&size=100000.json,0,259,0,220,251,True,False,259.0,-259.0,True,False,39.0,-39.0,True,False,8.0,-8.0
apache__arrow#org.apache.arrow.vector.ipc.WriteChannelBenchmark.alignBenchmark#alignSize=2.json_0,apache__arrow#org.apache.arrow.vector.ipc.WriteChannelBenchmark.alignBenchmark#alignSize=2.json,0,13,2,2,15,True,False,11.0,-11.0,True,False,11.0,-11.0,True,False,2.0,2.0
jdbi__jdbi#org.jdbi.v3.benchmark.QualifiersBenchmark.eq3To3#.json_0,jdbi__jdbi#org.jdbi.v3.benchmark.QualifiersBenchmark.eq3To3#.json,0,471,7,758,460,True,False,464.0,-464.0,True,False,287.0,287.0,True,False,11.0,-11.0
apache__camel#org.apache.camel.itest.jmh.NormalizeUriTest.benchmarkFast#.json_0,apache__camel#org.apache.camel.itest.jmh.NormalizeUriTest.benchmarkFast#.json,0,6,32,460,15,True,False,26.0,26.0,True,False,454.0,454.0,True,False,9.0,9.0
netty__netty#io.netty.microbench.internal.EscapeCsvBenchmark.escapeCsvOld#value=netty.json_0,netty__netty#io.netty.microbench.internal.EscapeCsvBenchmark.escapeCsvOld#value=netty.json,0,289,0,1516,15,True,False,289.0,-289.0,True,False,1227.0,1227.0,True,False,274.0,-274.0
raphw__byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddySpecialized#.json_0,raphw__byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddySpecialized#.json,0,186,327,365,49,True,False,141.0,141.0,True,False,179.0,179.0,True,False,137.0,-137.0
netty__netty#io.netty.microbench.buffer.ByteBufCopyBenchmark.setBytes#alignedCopyByteBuf=false&alignedCopyByteBuffer=false&directByteBuff=true&directByteBuffer=false&nativeOrderByteBuffer=false&pooledByteBuf=false&readonlyByteBuffer=false&size=128.json_0,netty__netty#io.netty.microbench.buffer.ByteBufCopyBenchmark.setBytes#alignedCopyByteBuf=false&alignedCopyByteBuffer=false&directByteBuff=true&directByteBuffer=false&nativeOrderByteBuffer=false&pooledByteBuf=false&readonlyByteBuffer=false&size=128.json,0,269,0,2243,15,True,False,269.0,-269.0,True,False,1974.0,1974.0,True,False,254.0,-254.0
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=3.json_0,HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=3.json,0,200,172,1420,87,True,False,28.0,-28.0,True,False,1220.0,1220.0,True,False,113.0,-113.0
jdbi__jdbi#org.jdbi.v3.core.EnumBenchmark.mapEnumCaseInsensitive#.json_0,jdbi__jdbi#org.jdbi.v3.core.EnumBenchmark.mapEnumCaseInsensitive#.json,0,539,28,27,15,True,False,511.0,-511.0,True,False,512.0,-512.0,True,False,524.0,-524.0
ReactiveX__RxJava#io.reactivex.rxjava3.xmapz.ObservableConcatMapCompletablePerf.observablePlain#count=1.json_0,ReactiveX__RxJava#io.reactivex.rxjava3.xmapz.ObservableConcatMapCompletablePerf.observablePlain#count=1.json,0,328,0,0,15,True,False,328.0,-328.0,True,False,328.0,-328.0,True,False,313.0,-313.0
